,Nos.,order_id,Item,Price,City,Quantity,Bill Amount,State of Delivery,Year,product_ID
53,54,5,Product 350,206,Ahemadabad,5,1030,Gujarat,2014, 350
54,55,5,Product 284,75,Ahemadabad,2,150,Gujarat,2014, 284
55,56,5,Product 215,150,Ahemadabad,3,450,Gujarat,2014, 215
56,57,5,Product 102,283,Ahemadabad,7,1981,Gujarat,2014, 102
57,58,5,Product 262,282,Ahemadabad,9,2538,Gujarat,2014, 262
58,59,5,Product 214,152,Ahemadabad,8,1216,Gujarat,2014, 214
59,60,5,Product 290,73,Ahemadabad,6,438,Gujarat,2014, 290
60,61,5,Product 219,203,Ahemadabad,8,1624,Gujarat,2014, 219
61,62,5,Product 47,290,Ahemadabad,1,290,Gujarat,2014, 47
62,63,5,Product 485,271,Ahemadabad,8,2168,Gujarat,2014, 485
63,64,5,Product 103,76,Ahemadabad,6,456,Gujarat,2014, 103
64,65,6,Product 224,264,Gurgaon,7,1848,Haryana,2014, 224
65,66,6,Product 164,122,Gurgaon,10,1220,Haryana,2014, 164
66,67,6,Product 206,85,Gurgaon,3,255,Haryana,2014, 206
67,68,6,Product 397,255,Gurgaon,5,1275,Haryana,2014, 397
68,69,6,Product 399,103,Gurgaon,4,412,Haryana,2014, 399
69,70,6,Product 469,183,Gurgaon,8,1464,Haryana,2014, 469
70,71,6,Product 291,116,Gurgaon,7,812,Haryana,2014, 291
71,72,6,Product 303,220,Gurgaon,8,1760,Haryana,2014, 303
72,73,6,Product 293,165,Gurgaon,10,1650,Haryana,2014, 293
73,74,6,Product 84,190,Gurgaon,7,1330,Haryana,2014, 84
74,75,6,Product 103,76,Gurgaon,5,380,Haryana,2014, 103
75,76,6,Product 391,234,Gurgaon,10,2340,Haryana,2014, 391
76,77,6,Product 236,65,Gurgaon,4,260,Haryana,2014, 236
77,78,6,Product 221,121,Gurgaon,1,121,Haryana,2014, 221
78,79,7,Product 390,207,Kolkata,9,1863,West Bengal,2014, 390
79,80,7,Product 107,114,Kolkata,8,912,West Bengal,2014, 107
80,81,7,Product 97,94,Kolkata,1,94,West Bengal,2014, 97
81,82,7,Product 46,136,Kolkata,2,272,West Bengal,2014, 46
82,83,7,Product 137,113,Kolkata,2,226,West Bengal,2014, 137
83,84,7,Product 112,108,Kolkata,3,324,West Bengal,2014, 112
84,85,7,Product 449,157,Kolkata,5,785,West Bengal,2014, 449
85,86,7,Product 455,200,Kolkata,10,2000,West Bengal,2014, 455
86,87,7,Product 134,95,Kolkata,4,380,West Bengal,2014, 134
87,88,7,Product 238,153,Kolkata,2,306,West Bengal,2014, 238
88,89,7,Product 331,200,Kolkata,3,600,West Bengal,2014, 331
89,90,7,Product 234,232,Kolkata,5,1160,West Bengal,2014, 234
90,91,7,Product 173,123,Kolkata,3,369,West Bengal,2014, 173
91,92,7,Product 238,153,Kolkata,10,1530,West Bengal,2014, 238
92,93,8,Product 305,277,Mumbai,3,831,Maharashtra,2014, 305
93,94,8,Product 457,181,Mumbai,3,543,Maharashtra,2014, 457
94,95,8,Product 176,64,Mumbai,4,256,Maharashtra,2014, 176
95,96,8,Product 220,94,Mumbai,3,282,Maharashtra,2014, 220
96,97,8,Product 398,266,Mumbai,4,1064,Maharashtra,2014, 398
97,98,8,Product 166,79,Mumbai,2,158,Maharashtra,2014, 166
98,99,8,Product 200,155,Mumbai,1,155,Maharashtra,2014, 200
99,100,8,Product 68,279,Mumbai,6,1674,Maharashtra,2014, 68
100,101,8,Product 287,114,Mumbai,5,570,Maharashtra,2014, 287
101,102,8,Product 28,76,Mumbai,7,532,Maharashtra,2014, 28
102,103,8,Product 36,214,Mumbai,2,428,Maharashtra,2014, 36
103,104,8,Product 463,118,Mumbai,8,944,Maharashtra,2014, 463
104,105,9,Product 440,113,Barshi,1,113,Maharashtra,2014, 440
105,106,9,Product 322,123,Barshi,2,246,Maharashtra,2014, 322
106,107,9,Product 102,283,Barshi,5,1415,Maharashtra,2014, 102
107,108,9,Product 226,213,Barshi,7,1491,Maharashtra,2014, 226
108,109,9,Product 424,68,Barshi,4,272,Maharashtra,2014, 424
109,110,9,Product 214,152,Barshi,8,1216,Maharashtra,2014, 214
110,111,9,Product 93,174,Barshi,7,1218,Maharashtra,2014, 93
111,112,9,Product 309,195,Barshi,3,585,Maharashtra,2014, 309
112,113,10,Product 488,130,Hyderabad,8,1040,Telangana,2014, 488
113,114,10,Product 392,50,Hyderabad,6,300,Telangana,2014, 392
114,115,10,Product 359,154,Hyderabad,5,770,Telangana,2014, 359
115,116,10,Product 363,266,Hyderabad,8,2128,Telangana,2014, 363
116,117,10,Product 53,214,Hyderabad,3,642,Telangana,2014, 53
117,118,10,Product 62,180,Hyderabad,3,540,Telangana,2014, 62
118,119,10,Product 330,123,Hyderabad,9,1107,Telangana,2014, 330
119,120,10,Product 135,214,Hyderabad,2,428,Telangana,2014, 135
120,121,10,Product 382,103,Hyderabad,4,412,Telangana,2014, 382
121,122,10,Product 200,155,Hyderabad,8,1240,Telangana,2014, 200
122,123,10,Product 157,244,Hyderabad,5,1220,Telangana,2014, 157
123,124,10,Product 485,271,Hyderabad,6,1626,Telangana,2014, 485
124,125,10,Product 256,260,Hyderabad,6,1560,Telangana,2014, 256
125,126,11,Product 120,171,Warangal,4,684,Telangana,2014, 120
126,127,11,Product 142,195,Warangal,9,1755,Telangana,2014, 142
127,128,11,Product 163,124,Warangal,7,868,Telangana,2014, 163
128,129,11,Product 427,275,Warangal,9,2475,Telangana,2014, 427
129,130,11,Product 12,68,Warangal,2,136,Telangana,2014, 12
130,131,11,Product 155,257,Warangal,9,2313,Telangana,2014, 155
131,132,11,Product 144,99,Warangal,9,891,Telangana,2014, 144
132,133,11,Product 33,90,Warangal,7,630,Telangana,2014, 33
133,134,11,Product 201,150,Warangal,2,300,Telangana,2014, 201
134,135,11,Product 233,94,Warangal,8,752,Telangana,2014, 233
135,136,11,Product 175,280,Warangal,6,1680,Telangana,2014, 175
136,137,11,Product 341,294,Warangal,3,882,Telangana,2014, 341
137,138,11,Product 7,147,Warangal,9,1323,Telangana,2014, 7
138,139,12,Product 468,296,New Delhi,6,1776,New Delhi,2014, 468
139,140,12,Product 23,296,New Delhi,9,2664,New Delhi,2014, 23
140,141,12,Product 491,279,New Delhi,2,558,New Delhi,2014, 491
141,142,12,Product 225,210,New Delhi,7,1470,New Delhi,2014, 225
142,143,12,Product 351,261,New Delhi,5,1305,New Delhi,2014, 351
143,144,12,Product 53,214,New Delhi,2,428,New Delhi,2014, 53
144,145,12,Product 236,65,New Delhi,10,650,New Delhi,2014, 236
145,146,12,Product 236,65,New Delhi,3,195,New Delhi,2014, 236
146,147,13,Product 380,243,Vita,5,1215,Maharashtra,2014, 380
147,148,13,Product 150,203,Vita,4,812,Maharashtra,2014, 150
148,149,13,Product 81,234,Vita,9,2106,Maharashtra,2014, 81
149,150,13,Product 479,68,Vita,6,408,Maharashtra,2014, 479
150,151,13,Product 409,293,Vita,2,586,Maharashtra,2014, 409
151,152,13,Product 325,61,Vita,10,610,Maharashtra,2014, 325
152,153,13,Product 113,280,Vita,6,1680,Maharashtra,2014, 113
153,154,13,Product 173,123,Vita,8,984,Maharashtra,2014, 173
154,155,13,Product 97,94,Vita,3,282,Maharashtra,2014, 97
155,156,14,Product 75,259,Anantapur,2,518,Maharashtra,2014, 75
156,157,14,Product 483,270,Anantapur,2,540,Maharashtra,2014, 483
157,158,14,Product 274,74,Anantapur,7,518,Maharashtra,2014, 274
158,159,14,Product 187,103,Anantapur,3,309,Maharashtra,2014, 187
159,160,14,Product 36,214,Anantapur,4,856,Maharashtra,2014, 36
160,161,14,Product 249,135,Anantapur,9,1215,Maharashtra,2014, 249
161,162,15,Product 128,261,Kurnool,10,2610,Andhra Pradesh,2014, 128
162,163,15,Product 447,89,Kurnool,9,801,Andhra Pradesh,2014, 447
163,164,15,Product 319,131,Kurnool,9,1179,Andhra Pradesh,2014, 319
164,165,15,Product 25,91,Kurnool,4,364,Andhra Pradesh,2014, 25
165,166,15,Product 54,201,Kurnool,2,402,Andhra Pradesh,2014, 54
166,167,15,Product 375,293,Kurnool,7,2051,Andhra Pradesh,2014, 375
167,168,15,Product 323,189,Kurnool,9,1701,Andhra Pradesh,2014, 323
168,169,15,Product 397,255,Kurnool,9,2295,Andhra Pradesh,2014, 397
169,170,15,Product 74,162,Kurnool,10,1620,Andhra Pradesh,2014, 74
170,171,15,Product 93,174,Kurnool,3,522,Andhra Pradesh,2014, 93
171,172,15,Product 463,118,Kurnool,1,118,Andhra Pradesh,2014, 463
172,173,16,Product 68,279,Bangalore,2,558,Karnataka,2014, 68
173,174,16,Product 18,285,Bangalore,8,2280,Karnataka,2014, 18
174,175,16,Product 15,137,Bangalore,3,411,Karnataka,2014, 15
175,176,16,Product 31,110,Bangalore,10,1100,Karnataka,2014, 31
176,177,16,Product 7,147,Bangalore,10,1470,Karnataka,2014, 7
177,178,16,Product 78,154,Bangalore,3,462,Karnataka,2014, 78
178,179,16,Product 427,275,Bangalore,8,2200,Karnataka,2014, 427
179,180,16,Product 89,206,Bangalore,8,1648,Karnataka,2014, 89
180,181,16,Product 485,271,Bangalore,3,813,Karnataka,2014, 485
181,182,16,Product 341,294,Bangalore,5,1470,Karnataka,2014, 341
182,183,16,Product 161,132,Bangalore,6,792,Karnataka,2014, 161
183,184,16,Product 485,271,Bangalore,4,1084,Karnataka,2014, 485
184,185,16,Product 322,123,Bangalore,5,615,Karnataka,2014, 322
185,186,17,Product 20,235,Dehli,7,1645,New Delhi,2014, 20
186,187,17,Product 5,95,Dehli,10,950,New Delhi,2014, 5
187,188,17,Product 474,123,Dehli,9,1107,New Delhi,2014, 474
188,189,17,Product 131,85,Dehli,1,85,New Delhi,2014, 131
189,190,17,Product 36,214,Dehli,4,856,New Delhi,2014, 36
190,191,17,Product 236,65,Dehli,9,585,New Delhi,2014, 236
191,192,17,Product 288,252,Dehli,5,1260,New Delhi,2014, 288
192,193,18,Product 199,216,Chennai,9,1944,Tamil Nadu,2014, 199
193,194,18,Product 175,280,Chennai,9,2520,Tamil Nadu,2014, 175
194,195,18,Product 307,202,Chennai,3,606,Tamil Nadu,2014, 307
195,196,18,Product 239,170,Chennai,6,1020,Tamil Nadu,2014, 239
196,197,18,Product 325,61,Chennai,8,488,Tamil Nadu,2014, 325
197,198,18,Product 359,154,Chennai,3,462,Tamil Nadu,2014, 359
198,199,18,Product 452,99,Chennai,10,990,Tamil Nadu,2014, 452
199,200,18,Product 334,248,Chennai,3,744,Tamil Nadu,2014, 334
200,201,18,Product 445,214,Chennai,2,428,Tamil Nadu,2014, 445
201,202,18,Product 116,199,Chennai,7,1393,Tamil Nadu,2014, 116
202,203,18,Product 471,198,Chennai,8,1584,Tamil Nadu,2014, 471
203,204,18,Product 14,256,Chennai,9,2304,Tamil Nadu,2014, 14
204,205,18,Product 14,256,Chennai,6,1536,Tamil Nadu,2014, 14
205,206,18,Product 427,275,Chennai,10,2750,Tamil Nadu,2014, 427
206,207,18,Product 173,123,Chennai,7,861,Tamil Nadu,2014, 173
207,208,18,Product 456,173,Chennai,3,519,Tamil Nadu,2014, 456
208,209,19,Product 392,50,Thrissur,1,50,Kerela,2014, 392
209,210,19,Product 270,162,Thrissur,3,486,Kerela,2014, 270
210,211,19,Product 92,265,Thrissur,9,2385,Kerela,2014, 92
211,212,19,Product 380,243,Thrissur,3,729,Kerela,2014, 380
212,213,19,Product 140,204,Thrissur,9,1836,Kerela,2014, 140
213,214,19,Product 396,142,Thrissur,3,426,Kerela,2014, 396
214,215,19,Product 19,188,Thrissur,6,1128,Kerela,2014, 19
215,216,19,Product 120,171,Thrissur,4,684,Kerela,2014, 120
216,217,19,Product 87,134,Thrissur,9,1206,Kerela,2014, 87
217,218,19,Product 299,241,Thrissur,4,964,Kerela,2014, 299
218,219,19,Product 178,163,Thrissur,4,652,Kerela,2014, 178
219,220,19,Product 406,149,Thrissur,2,298,Kerela,2014, 406
220,221,19,Product 170,114,Thrissur,4,456,Kerela,2014, 170
221,222,19,Product 36,214,Thrissur,1,214,Kerela,2014, 36
222,223,19,Product 9,299,Thrissur,9,2691,Kerela,2014, 9
223,224,20,Product 377,119,Bijapur,10,1190,Karnataka,2014, 377
224,225,20,Product 382,103,Bijapur,4,412,Karnataka,2014, 382
225,226,20,Product 500,251,Bijapur,7,1757,Karnataka,2014, 500
226,227,20,Product 430,296,Bijapur,2,592,Karnataka,2014, 430
227,228,20,Product 462,58,Bijapur,6,348,Karnataka,2014, 462
228,229,20,Product 485,271,Bijapur,8,2168,Karnataka,2014, 485
229,230,20,Product 237,66,Bijapur,6,396,Karnataka,2014, 237
230,231,20,Product 102,283,Bijapur,8,2264,Karnataka,2014, 102
231,232,20,Product 445,214,Bijapur,7,1498,Karnataka,2014, 445
232,233,20,Product 441,292,Bijapur,10,2920,Karnataka,2014, 441
233,234,20,Product 75,259,Bijapur,7,1813,Karnataka,2014, 75
234,235,20,Product 93,174,Bijapur,5,870,Karnataka,2014, 93
235,236,20,Product 420,131,Bijapur,7,917,Karnataka,2014, 420
236,237,21,Product 131,85,Nasik,8,680,Maharashtra,2014, 131
237,238,21,Product 79,95,Nasik,10,950,Maharashtra,2014, 79
238,239,21,Product 77,97,Nasik,1,97,Maharashtra,2014, 77
239,240,21,Product 484,50,Nasik,7,350,Maharashtra,2014, 484
240,241,21,Product 172,289,Nasik,5,1445,Maharashtra,2014, 172
241,242,21,Product 231,108,Nasik,4,432,Maharashtra,2014, 231
242,243,21,Product 377,119,Nasik,1,119,Maharashtra,2014, 377
243,244,21,Product 193,145,Nasik,9,1305,Maharashtra,2014, 193
244,245,21,Product 490,224,Nasik,6,1344,Maharashtra,2014, 490
245,246,21,Product 485,271,Nasik,2,542,Maharashtra,2014, 485
246,247,21,Product 254,57,Nasik,7,399,Maharashtra,2014, 254
247,248,22,Product 341,294,Secundrabad,7,2058,Telangana,2014, 341
248,249,22,Product 271,277,Secundrabad,10,2770,Telangana,2014, 271
249,250,22,Product 343,217,Secundrabad,2,434,Telangana,2014, 343
250,251,22,Product 175,280,Secundrabad,9,2520,Telangana,2014, 175
251,252,22,Product 338,138,Secundrabad,2,276,Telangana,2014, 338
252,253,22,Product 341,294,Secundrabad,2,588,Telangana,2014, 341
253,254,22,Product 54,201,Secundrabad,10,2010,Telangana,2014, 54
254,255,23,Product 401,222,Belgaum,3,666,Karnataka,2015, 401
255,256,23,Product 403,249,Belgaum,1,249,Karnataka,2015, 403
256,257,23,Product 37,82,Belgaum,8,656,Karnataka,2015, 37
257,258,23,Product 313,163,Belgaum,8,1304,Karnataka,2015, 313
258,259,23,Product 456,173,Belgaum,2,346,Karnataka,2015, 456
259,260,23,Product 96,296,Belgaum,6,1776,Karnataka,2015, 96
260,261,23,Product 257,122,Belgaum,8,976,Karnataka,2015, 257
261,262,23,Product 294,106,Belgaum,3,318,Karnataka,2015, 294
262,263,23,Product 134,95,Belgaum,9,855,Karnataka,2015, 134
263,264,23,Product 293,165,Belgaum,5,825,Karnataka,2015, 293
264,265,23,Product 441,292,Belgaum,3,876,Karnataka,2015, 441
265,266,23,Product 236,65,Belgaum,6,390,Karnataka,2015, 236
266,267,23,Product 467,211,Belgaum,4,844,Karnataka,2015, 467
267,268,24,Product 15,137,Amravati,9,1233,Maharashtra,2015, 15
268,269,24,Product 257,122,Amravati,5,610,Maharashtra,2015, 257
269,270,24,Product 462,58,Amravati,9,522,Maharashtra,2015, 462
270,271,24,Product 409,293,Amravati,1,293,Maharashtra,2015, 409
271,272,24,Product 138,258,Amravati,7,1806,Maharashtra,2015, 138
272,273,24,Product 283,157,Amravati,3,471,Maharashtra,2015, 283
273,274,24,Product 382,103,Amravati,5,515,Maharashtra,2015, 382
274,275,24,Product 460,76,Amravati,2,152,Maharashtra,2015, 460
275,276,24,Product 429,266,Amravati,7,1862,Maharashtra,2015, 429
276,277,24,Product 269,84,Amravati,8,672,Maharashtra,2015, 269
277,278,24,Product 173,123,Amravati,8,984,Maharashtra,2015, 173
278,279,24,Product 453,143,Amravati,2,286,Maharashtra,2015, 453
279,280,25,Product 457,181,Katol,2,362,Maharashtra,2015, 457
280,281,25,Product 147,243,Katol,10,2430,Maharashtra,2015, 147
281,282,25,Product 162,266,Katol,7,1862,Maharashtra,2015, 162
282,283,25,Product 3,140,Katol,6,840,Maharashtra,2015, 3
283,284,25,Product 269,84,Katol,1,84,Maharashtra,2015, 269
284,285,25,Product 116,199,Katol,10,1990,Maharashtra,2015, 116
285,286,25,Product 419,233,Katol,2,466,Maharashtra,2015, 419
286,287,25,Product 432,120,Katol,3,360,Maharashtra,2015, 432
287,288,25,Product 213,71,Katol,5,355,Maharashtra,2015, 213
288,289,25,Product 36,214,Katol,8,1712,Maharashtra,2015, 36
289,290,25,Product 253,98,Katol,10,980,Maharashtra,2015, 253
290,291,26,Product 359,154,Chandigarh,6,924,Haryana,2015, 359
291,292,26,Product 398,266,Chandigarh,4,1064,Haryana,2015, 398
292,293,26,Product 30,204,Chandigarh,4,816,Haryana,2015, 30
293,294,26,Product 306,235,Chandigarh,10,2350,Haryana,2015, 306
294,295,26,Product 480,69,Chandigarh,3,207,Haryana,2015, 480
295,296,26,Product 451,83,Chandigarh,1,83,Haryana,2015, 451
296,297,26,Product 485,271,Chandigarh,2,542,Haryana,2015, 485
297,298,26,Product 250,150,Chandigarh,4,600,Haryana,2015, 250
298,299,26,Product 120,171,Chandigarh,4,684,Haryana,2015, 120
299,300,26,Product 392,50,Chandigarh,10,500,Haryana,2015, 392
300,301,26,Product 377,119,Chandigarh,3,357,Haryana,2015, 377
301,302,26,Product 93,174,Chandigarh,1,174,Haryana,2015, 93
302,303,26,Product 173,123,Chandigarh,3,369,Haryana,2015, 173
303,304,27,Product 115,280,Dombivli,1,280,Maharashtra,2015, 115
304,305,27,Product 87,134,Dombivli,1,134,Maharashtra,2015, 87
305,306,27,Product 54,201,Dombivli,2,402,Maharashtra,2015, 54
306,307,27,Product 419,233,Dombivli,5,1165,Maharashtra,2015, 419
307,308,27,Product 66,159,Dombivli,1,159,Maharashtra,2015, 66
308,309,27,Product 182,259,Dombivli,4,1036,Maharashtra,2015, 182
309,310,27,Product 485,271,Dombivli,6,1626,Maharashtra,2015, 485
310,311,27,Product 321,282,Dombivli,6,1692,Maharashtra,2015, 321
311,312,28,Product 60,121,Delhi,8,968,New Delhi,2015, 60
312,313,28,Product 347,75,Delhi,8,600,New Delhi,2015, 347
313,314,28,Product 498,56,Delhi,9,504,New Delhi,2015, 498
314,315,28,Product 376,90,Delhi,2,180,New Delhi,2015, 376
315,316,28,Product 156,287,Delhi,2,574,New Delhi,2015, 156
316,317,28,Product 17,185,Delhi,8,1480,New Delhi,2015, 17
317,318,28,Product 424,68,Delhi,3,204,New Delhi,2015, 424
318,319,28,Product 215,150,Delhi,3,450,New Delhi,2015, 215
319,320,28,Product 489,179,Delhi,5,895,New Delhi,2015, 489
320,321,28,Product 381,282,Delhi,8,2256,New Delhi,2015, 381
321,322,28,Product 203,289,Delhi,4,1156,New Delhi,2015, 203
322,323,28,Product 422,185,Delhi,9,1665,New Delhi,2015, 422
323,324,28,Product 416,294,Delhi,9,2646,New Delhi,2015, 416
324,325,28,Product 236,65,Delhi,5,325,New Delhi,2015, 236
325,326,28,Product 290,73,Delhi,10,730,New Delhi,2015, 290
326,327,29,Product 260,190,Puri,7,1330,Odhisha,2015, 260
327,328,29,Product 13,62,Puri,9,558,Odhisha,2015, 13
328,329,29,Product 70,90,Puri,4,360,Odhisha,2015, 70
329,330,29,Product 488,130,Puri,7,910,Odhisha,2015, 488
330,331,29,Product 63,186,Puri,10,1860,Odhisha,2015, 63
331,332,29,Product 252,244,Puri,2,488,Odhisha,2015, 252
332,333,29,Product 231,108,Puri,10,1080,Odhisha,2015, 231
333,334,29,Product 219,203,Puri,3,609,Odhisha,2015, 219
334,335,29,Product 197,158,Puri,4,632,Odhisha,2015, 197
335,336,29,Product 269,84,Puri,8,672,Odhisha,2015, 269
336,337,29,Product 196,215,Puri,10,2150,Odhisha,2015, 196
337,338,29,Product 173,123,Puri,2,246,Odhisha,2015, 173
338,339,29,Product 238,153,Puri,3,459,Odhisha,2015, 238
339,340,30,Product 227,180,Navi Mumbai,6,1080,Maharashtra,2015, 227
340,341,30,Product 77,97,Navi Mumbai,9,873,Maharashtra,2015, 77
341,342,30,Product 68,279,Navi Mumbai,10,2790,Maharashtra,2015, 68
342,343,30,Product 414,130,Navi Mumbai,2,260,Maharashtra,2015, 414
343,344,30,Product 481,140,Navi Mumbai,7,980,Maharashtra,2015, 481
344,345,30,Product 354,82,Navi Mumbai,8,656,Maharashtra,2015, 354
345,346,30,Product 372,91,Navi Mumbai,8,728,Maharashtra,2015, 372
346,347,30,Product 86,274,Navi Mumbai,3,822,Maharashtra,2015, 86
347,348,30,Product 399,103,Navi Mumbai,4,412,Maharashtra,2015, 399
348,349,30,Product 300,79,Navi Mumbai,10,790,Maharashtra,2015, 300
349,350,30,Product 392,50,Navi Mumbai,2,100,Maharashtra,2015, 392
350,351,30,Product 36,214,Navi Mumbai,7,1498,Maharashtra,2015, 36
351,352,30,Product 208,159,Navi Mumbai,1,159,Maharashtra,2015, 208
352,353,31,Product 127,179,Pune,2,358,Maharashtra,2015, 127
353,354,31,Product 217,68,Pune,1,68,Maharashtra,2015, 217
354,355,31,Product 7,147,Pune,1,147,Maharashtra,2015, 7
355,356,31,Product 113,280,Pune,3,840,Maharashtra,2015, 113
356,357,31,Product 320,283,Pune,9,2547,Maharashtra,2015, 320
357,358,31,Product 95,77,Pune,3,231,Maharashtra,2015, 95
358,359,31,Product 14,256,Pune,3,768,Maharashtra,2015, 14
359,360,31,Product 414,130,Pune,1,130,Maharashtra,2015, 414
360,361,31,Product 147,243,Pune,3,729,Maharashtra,2015, 147
361,362,31,Product 94,284,Pune,9,2556,Maharashtra,2015, 94
362,363,31,Product 309,195,Pune,4,780,Maharashtra,2015, 309
363,364,31,Product 341,294,Pune,3,882,Maharashtra,2015, 341
364,365,31,Product 251,210,Pune,2,420,Maharashtra,2015, 251
365,366,31,Product 133,276,Pune,4,1104,Maharashtra,2015, 133
366,367,31,Product 447,89,Pune,5,445,Maharashtra,2015, 447
367,368,31,Product 96,296,Pune,7,2072,Maharashtra,2015, 96
368,369,31,Product 93,174,Pune,7,1218,Maharashtra,2015, 93
369,370,31,Product 261,121,Pune,2,242,Maharashtra,2015, 261
370,371,32,Product 68,279,Nashik,5,1395,Maharashtra,2015, 68
371,372,32,Product 466,180,Nashik,7,1260,Maharashtra,2015, 466
372,373,32,Product 369,218,Nashik,7,1526,Maharashtra,2015, 369
373,374,32,Product 380,243,Nashik,10,2430,Maharashtra,2015, 380
374,375,32,Product 117,52,Nashik,4,208,Maharashtra,2015, 117
375,376,32,Product 371,97,Nashik,3,291,Maharashtra,2015, 371
376,377,32,Product 99,125,Nashik,8,1000,Maharashtra,2015, 99
377,378,32,Product 301,195,Nashik,9,1755,Maharashtra,2015, 301
378,379,32,Product 471,198,Nashik,9,1782,Maharashtra,2015, 471
379,380,32,Product 425,62,Nashik,9,558,Maharashtra,2015, 425
380,381,32,Product 483,270,Nashik,3,810,Maharashtra,2015, 483
381,382,32,Product 218,192,Nashik,3,576,Maharashtra,2015, 218
382,383,32,Product 485,271,Nashik,1,271,Maharashtra,2015, 485
383,384,32,Product 81,234,Nashik,1,234,Maharashtra,2015, 81
384,385,33,Product 294,106,Raipur,9,954,Chattisgarh,2015, 294
385,386,33,Product 166,79,Raipur,8,632,Chattisgarh,2015, 166
386,387,33,Product 135,214,Raipur,1,214,Chattisgarh,2015, 135
387,388,33,Product 435,223,Raipur,9,2007,Chattisgarh,2015, 435
388,389,33,Product 254,57,Raipur,4,228,Chattisgarh,2015, 254
